Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied/Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Tenure in weeks,rating_missing,yearly_purchase_rate,consistency_score,consistent,clv_score,clv_tier,dependency_score,loyalty_score,loyalty_tier,customer_segment,satisfaction_tier
11,53,Male,Shoes,Footwear,34,Arkansas,L,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,13.0,0,104,0.7551020408163265,1,0.5978316326530613,High,0.24489795918367352,0.35714285714285704,Low,Loyal: Promo Dependent,Highly Satisfied
12,30,Male,Shorts,Clothing,68,Hawaii,S,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,Fortnightly,20.0,0,26,0.21319595799484842,0,0.30842084406578163,Low,0.7868040420051516,0.12857142857142856,Low,Casual: Bargain Hunter,Highly Satisfied
13,61,Male,Coat,Outerwear,72,Delaware,M,Winter,4.5,Yes,Express,Yes,37,Venmo,Fortnightly,74.0,0,26,0.48870616207648104,1,0.5413290073310877,High,0.511293837923519,0.5142857142857142,Mid,Loyal: Promo Dependent,Highly Satisfied
14,65,Male,Dress,Clothing,51,New Hampshire,M,Spring,4.7,Yes,Express,Yes,31,PayPal,Weekly,31.0,0,52,0.5536952645135724,1,0.5150739300574598,High,0.4463047354864276,0.4285714285714285,Mid,Loyal: Promo Dependent,Highly Satisfied
15,64,Male,Coat,Outerwear,53,New York,L,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,34.0,0,52,0.5843075094115315,1,0.5458137259758272,High,0.41569249058846847,0.47142857142857136,Mid,Loyal: Promo Dependent,Highly Satisfied
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,Monthly,32.0,0,12,0.12482662968099861,0,0.28514649791955615,Low,0.8751733703190014,0.09999999999999999,Low,Casual: Bargain Hunter,Dissatisfied
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Bi-Weekly,22.0,0,104,0.9387755102040816,1,0.7510204081632653,High,0.061224489795918435,0.6142857142857141,Mid,Loyal: Promo Dependent,Highly Satisfied
18,53,Male,Dress,Clothing,38,Mississippi,XL,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,Quarterly,468.0,0,4,0.3717059639389736,1,0.3521584604715673,Mid,0.6282940360610264,0.4999999999999999,Mid,Loyal: Promo Dependent,Highly Satisfied
19,52,Male,Sweater,Clothing,48,Montana,S,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,17.0,0,52,0.4108381216564295,1,0.3914132157717456,Mid,0.5891618783435705,0.22857142857142854,Low,Loyal: Promo Dependent,Highly Satisfied
20,66,Male,Pants,Clothing,90,Rhode Island,M,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Bi-Weekly,23.0,0,104,0.9591836734693877,1,0.9360969387755101,High,0.04081632653061229,0.6428571428571428,High,Loyal: Promo Dependent,Neutral
21,21,Male,Pants,Clothing,51,Louisiana,M,Winter,2.8,Yes,Express,Yes,50,Cash,Quarterly,650.0,0,4,0.5145631067961165,1,0.5070691747572816,High,0.4854368932038835,0.7,High,Loyal: Promo Dependent,Dissatisfied
22,31,Male,Pants,Clothing,62,North Carolina,M,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,286.0,0,4,0.22884882108183074,0,0.3128727461858529,Low,0.7711511789181693,0.29999999999999993,Low,Casual: Bargain Hunter,Highly Satisfied
23,56,Male,Pants,Clothing,37,California,M,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,1664.0,0,1,0.31632653061224486,0,0.30618622448979593,Low,0.6836734693877551,0.4428571428571428,Mid,Casual: Bargain Hunter,Neutral
24,31,Male,Pants,Clothing,88,Oklahoma,XL,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,40.0,0,52,0.64553199920745,1,0.704168317812562,High,0.35446800079255003,0.557142857142857,Mid,Loyal: Promo Dependent,Highly Satisfied
25,18,Male,Jacket,Outerwear,22,Florida,M,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,16.0,0,52,0.40063404002377645,1,0.3019999504656231,Low,0.5993659599762236,0.21428571428571425,Low,Loyal: Promo Dependent,Dissatisfied
26,18,Male,Hoodie,Clothing,25,Texas,M,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,728.0,0,1,0.13265306122448978,0,0.12174744897959183,Low,0.8673469387755102,0.18571428571428567,Low,Casual: Bargain Hunter,Neutral
27,38,Male,Jewelry,Accessories,20,Nevada,M,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,676.0,0,1,0.12244897959183672,0,0.09795918367346938,Low,0.8775510204081632,0.1714285714285714,Low,Casual: Bargain Hunter,Neutral
28,56,Male,Shorts,Clothing,56,Kentucky,L,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Quarterly,91.0,0,4,0.07578759659203486,0,0.17167376659401626,Low,0.9242124034079652,0.0857142857142857,Low,Casual: Bargain Hunter,Highly Satisfied
29,54,Male,Handbag,Accessories,94,North Carolina,M,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Quarterly,533.0,0,4,0.4227263721022389,1,0.5679747870021795,High,0.577273627897761,0.5714285714285713,Mid,Loyal: Promo Dependent,Highly Satisfied
30,31,Male,Dress,Clothing,48,Wyoming,S,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,14.0,0,52,0.38022587675847036,1,0.3669234198533783,Mid,0.6197741232415297,0.18571428571428567,Low,Loyal: Promo Dependent,Highly Satisfied
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,64.0,0,12,0.20645928274222308,0,0.19420262036853575,Low,0.7935407172577769,0.21428571428571425,Low,Casual: Bargain Hunter,Highly Satisfied
32,33,Male,Dress,Clothing,79,West Virginia,L,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,180.0,0,12,0.5023776500891618,1,0.5809373142460867,High,0.4976223499108382,0.6285714285714284,Mid,Loyal: Promo Dependent,Highly Satisfied
34,54,Male,Pants,Clothing,38,Colorado,L,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,585.0,0,4,0.46354269863285114,1,0.4256278482266693,Mid,0.5364573013671489,0.6285714285714284,Mid,Loyal: Promo Dependent,Neutral
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,494.0,0,4,0.39211412720427974,1,0.5341099910838122,High,0.6078858727957203,0.5285714285714285,Mid,Loyal: Promo Dependent,Highly Satisfied
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,24.0,0,104,0.9795918367346939,1,0.7742984693877552,High,0.020408163265306145,0.6714285714285714,High,Loyal: Promo Dependent,Neutral
37,35,Male,T-shirt,Clothing,69,Illinois,M,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Fortnightly,88.0,0,26,0.5601347335050524,1,0.5890968644739449,High,0.4398652664949476,0.6142857142857141,Mid,Loyal: Promo Dependent,Highly Satisfied
38,35,Male,Jeans,Clothing,45,Indiana,S,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,10.0,0,52,0.3394095502278581,0,0.3248953586288884,Mid,0.6605904497721419,0.12857142857142856,Low,Casual: Bargain Hunter,Dissatisfied
39,29,Male,Dress,Clothing,37,Florida,M,Winter,3.7,Yes,2-Day Shipping,Yes,44,Venmo,Quarterly,572.0,1,4,0.45333861700019806,1,0.41433958292054685,Mid,0.5466613829998019,0.6142857142857141,Mid,Loyal: Promo Dependent,Neutral
40,70,Male,Pants,Clothing,60,Arizona,S,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,72.0,0,12,0.2268674460075292,0,0.30115415098078063,Low,0.7731325539924708,0.2428571428571428,Low,Casual: Bargain Hunter,Highly Satisfied
41,69,Male,Handbag,Accessories,76,Louisiana,L,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,403.0,0,4,0.3206855557757083,0,0.430092133940955,Mid,0.6793144442242918,0.4285714285714285,Mid,Casual: Bargain Hunter,Highly Satisfied
42,67,Male,Scarf,Accessories,39,Alaska,M,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,2080.0,0,1,0.39795918367346933,1,0.3777423469387755,Mid,0.6020408163265307,0.557142857142857,Mid,Loyal: Promo Dependent,Highly Satisfied
43,20,Male,Coat,Outerwear,100,Tennessee,M,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,780.0,0,1,0.14285714285714282,0,0.36428571428571427,Mid,0.8571428571428572,0.19999999999999993,Low,Casual: Bargain Hunter,Highly Satisfied
44,25,Male,Scarf,Accessories,69,Ohio,L,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Fortnightly,38.0,0,26,0.30503269268872596,0,0.3850152318208837,Mid,0.6949673073112741,0.2571428571428571,Low,Casual: Bargain Hunter,Neutral
45,39,Male,Hat,Accessories,53,Kentucky,S,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,45.0,0,52,0.6965524073707152,1,0.6356096443431741,High,0.3034475926292848,0.6285714285714284,Mid,Loyal: Promo Dependent,Highly Satisfied
46,50,Male,Socks,Clothing,21,Tennessee,XL,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,1300.0,0,1,0.24489795918367346,0,0.19904336734693878,Low,0.7551020408163265,0.3428571428571428,Low,Casual: Bargain Hunter,Dissatisfied
47,57,Male,Shirt,Clothing,43,California,L,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,585.0,0,4,0.46354269863285114,1,0.4412528482266693,Mid,0.5364573013671489,0.6285714285714284,Mid,Loyal: Promo Dependent,Dissatisfied
48,55,Male,Jewelry,Accessories,54,Montana,M,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,36.0,0,52,0.6047156726768377,1,0.565265256588072,High,0.3952843273231623,0.4999999999999999,Mid,Loyal: Promo Dependent,Highly Satisfied
49,42,Male,Shirt,Clothing,55,Nevada,M,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,152.0,0,12,0.4309490786605904,1,0.4487944571032296,Mid,0.5690509213394096,0.5285714285714285,Mid,Loyal: Promo Dependent,Dissatisfied
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Bi-Weekly,17.0,0,104,0.8367346938775511,1,0.6506377551020408,High,0.16326530612244894,0.47142857142857136,Mid,Loyal: Promo Dependent,Highly Satisfied
51,49,Male,Blouse,Clothing,28,Maryland,M,Spring,3.7,Yes,Store Pickup,Yes,39,Debit Card,Bi-Weekly,19.5,1,104,0.8877551020408163,1,0.685204081632653,High,0.11224489795918369,0.5428571428571427,Mid,Loyal: Promo Dependent,Neutral
52,59,Male,Skirt,Clothing,59,Vermont,XL,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,91.0,0,4,0.07578759659203486,0,0.18104876659401625,Low,0.9242124034079652,0.0857142857142857,Low,Casual: Bargain Hunter,Highly Satisfied
53,42,Male,T-shirt,Clothing,20,Alaska,M,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,26.0,0,52,0.5026748563503071,1,0.3773826035268476,Mid,0.49732514364969294,0.35714285714285704,Low,Loyal: Promo Dependent,Dissatisfied
54,29,Male,Skirt,Clothing,24,Mississippi,S,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,35.0,0,52,0.5945115910441846,1,0.46335199128194965,Mid,0.4054884089558154,0.4857142857142856,Mid,Loyal: Promo Dependent,Neutral
55,47,Male,Coat,Outerwear,94,New Mexico,M,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Bi-Weekly,17.5,0,104,0.846938775510204,1,0.8588010204081631,High,0.15306122448979598,0.4857142857142856,Mid,Loyal: Promo Dependent,Highly Satisfied
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,46.0,0,52,0.7067564890033683,1,0.7062729096492966,High,0.2932435109966317,0.6428571428571428,High,Loyal: Promo Dependent,Highly Satisfied
58,21,Male,Coat,Outerwear,64,West Virginia,M,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Fortnightly,34.0,0,26,0.28462452942341987,0,0.3530637012086388,Mid,0.7153754705765801,0.22857142857142854,Low,Casual: Bargain Hunter,Highly Satisfied
59,69,Male,Hoodie,Clothing,54,Missouri,M,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,116.0,0,12,0.33911234396671286,0,0.3722000693481276,Mid,0.6608876560332871,0.39999999999999997,Mid,Casual: Bargain Hunter,Highly Satisfied
60,63,Male,Belt,Accessories,79,Louisiana,L,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,4.0,0,52,0.27818506043193975,0,0.38216576679215375,Mid,0.7218149395680602,0.04285714285714285,Low,Casual: Bargain Hunter,Highly Satisfied
61,50,Male,Sweater,Clothing,37,Idaho,L,Summer,4.0,Yes,Express,Yes,17,Cash,Weekly,17.0,0,52,0.4108381216564295,1,0.35703821577174555,Mid,0.5891618783435705,0.22857142857142854,Low,Loyal: Promo Dependent,Neutral
62,55,Male,Scarf,Accessories,68,Texas,M,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Quarterly,273.0,0,4,0.2186447394491777,0,0.32345948087973053,Mid,0.7813552605508223,0.28571428571428564,Low,Casual: Bargain Hunter,Highly Satisfied
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly,62.0,0,26,0.42748167228056266,1,0.332974415494353,Mid,0.5725183277194373,0.4285714285714285,Mid,Loyal: Promo Dependent,Neutral
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,43.0,0,52,0.6761442441054091,1,0.7005331137309292,High,0.3238557558945909,0.6,Mid,Loyal: Promo Dependent,Dissatisfied
65,65,Male,Boots,Footwear,83,Alabama,S,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Fortnightly,36.0,0,26,0.2948286110560729,0,0.4206019665147612,Mid,0.7051713889439271,0.2428571428571428,Low,Casual: Bargain Hunter,Highly Satisfied
66,65,Male,Backpack,Accessories,36,New Jersey,M,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Quarterly,572.0,0,4,0.45333861700019806,1,0.41121458292054686,Mid,0.5466613829998019,0.6142857142857141,Mid,Loyal: Promo Dependent,Highly Satisfied
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Quarterly,39.0,0,4,0.03497127006142263,0,0.25777070536952645,Low,0.9650287299385774,0.02857142857142857,Low,Casual: Bargain Hunter,Highly Satisfied
68,45,Male,Coat,Outerwear,33,Connecticut,L,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,196.0,0,12,0.5431939766197741,1,0.46984037547057655,Mid,0.4568060233802259,0.6857142857142856,High,Loyal: Promo Dependent,Highly Satisfied
69,57,Male,Handbag,Accessories,46,Utah,L,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Quarterly,273.0,0,4,0.2186447394491777,0,0.25470948087973055,Low,0.7813552605508223,0.28571428571428564,Low,Casual: Bargain Hunter,Neutral
70,48,Male,Belt,Accessories,70,Tennessee,S,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,5.0,0,52,0.2883891420645928,0,0.36220403209827623,Mid,0.7116108579354072,0.057142857142857134,Low,Casual: Bargain Hunter,Highly Satisfied
71,22,Male,Belt,Accessories,29,Alabama,M,Fall,4.2,Yes,Express,Yes,32,Debit Card,Quarterly,416.0,0,4,0.33088963740836136,0,0.2913803992470775,Low,0.6691103625916386,0.4428571428571428,Mid,Casual: Bargain Hunter,Highly Satisfied
72,36,Male,Dress,Clothing,48,Virginia,L,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,1768.0,0,1,0.336734693877551,0,0.35688775510204085,Mid,0.6632653061224489,0.47142857142857136,Mid,Casual: Bargain Hunter,Dissatisfied
73,18,Male,Dress,Clothing,26,Georgia,M,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Quarterly,273.0,0,4,0.2186447394491777,0,0.1922094808797305,Low,0.7813552605508223,0.28571428571428564,Low,Casual: Bargain Hunter,Dissatisfied
74,48,Male,Pants,Clothing,85,Hawaii,M,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,21.5,0,104,0.9285714285714286,1,0.8959821428571428,High,0.0714285714285714,0.6,Mid,Loyal: Promo Dependent,Dissatisfied
75,49,Male,Gloves,Accessories,58,Indiana,L,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,12.0,0,12,0.0738062215177333,0,0.17245517138894395,Low,0.9261937784822667,0.02857142857142857,Low,Casual: Bargain Hunter,Highly Satisfied
76,64,Male,Scarf,Accessories,85,Utah,M,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,1092.0,0,1,0.2040816326530612,0,0.36639030612244894,Mid,0.7959183673469388,0.28571428571428564,Low,Casual: Bargain Hunter,Dissatisfied
77,50,Male,Hat,Accessories,43,Delaware,S,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,128.0,0,12,0.369724588864672,1,0.3623148652664949,Mid,0.6302754111353279,0.4428571428571428,Mid,Loyal: Promo Dependent,Highly Satisfied
78,22,Male,Dress,Clothing,53,Delaware,L,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Fortnightly,72.0,0,26,0.47850208044382797,1,0.4737907420249653,Mid,0.521497919556172,0.4999999999999999,Mid,Loyal: Promo Dependent,Neutral
79,50,Male,Skirt,Clothing,91,Nebraska,M,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly,100.0,0,26,0.6213592233009708,1,0.7068264563106796,High,0.3786407766990292,0.7,High,Loyal: Promo Dependent,Highly Satisfied
80,38,Male,Jacket,Outerwear,96,Iowa,M,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Quarterly,559.0,0,4,0.44313453536754505,1,0.5905513176144245,High,0.5568654646324549,0.6,Mid,Loyal: Promo Dependent,Dissatisfied
81,19,Male,Sandals,Footwear,72,New York,XL,Summer,3.7,Yes,Store Pickup,Yes,24,Credit Card,Quarterly,312.0,1,4,0.2492569843471369,0,0.3604492767980979,Mid,0.7507430156528632,0.3285714285714285,Low,Casual: Bargain Hunter,Neutral
82,67,Male,Shoes,Footwear,96,Virginia,L,Summer,2.6,Yes,Express,Yes,36,Credit Card,Quarterly,468.0,0,4,0.3717059639389736,1,0.5334084604715673,High,0.6282940360610264,0.4999999999999999,Mid,Loyal: Promo Dependent,Dissatisfied
83,19,Male,Pants,Clothing,28,Georgia,S,Spring,4.0,Yes,2-Day Shipping,Yes,21,Credit Card,Quarterly,273.0,0,4,0.2186447394491777,0,0.19845948087973053,Low,0.7813552605508223,0.28571428571428564,Low,Casual: Bargain Hunter,Neutral
84,36,Male,Dress,Clothing,40,Texas,M,Summer,4.1,Yes,Standard,Yes,34,Bank Transfer,Weekly,34.0,0,52,0.5843075094115315,1,0.5051887259758272,High,0.41569249058846847,0.47142857142857136,Mid,Loyal: Promo Dependent,Highly Satisfied
85,52,Male,Coat,Outerwear,32,Arizona,S,Spring,4.4,Yes,Standard,Yes,42,Bank Transfer,Quarterly,546.0,0,4,0.432930453734892,1,0.382388052308302,Mid,0.5670695462651081,0.5857142857142856,Mid,Loyal: Promo Dependent,Highly Satisfied
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Winter,4.5,Yes,Next Day Air,Yes,2,Debit Card,Bi-Weekly,1.0,0,104,0.5102040816326531,1,0.5925382653061224,High,0.4897959183673469,0.014285714285714284,Low,Loyal: Promo Dependent,Highly Satisfied
87,24,Male,Hoodie,Clothing,41,Nevada,L,Spring,3.7,Yes,2-Day Shipping,Yes,47,Cash,Bi-Weekly,23.5,0,104,0.9693877551020408,1,0.7911352040816326,High,0.030612244897959218,0.657142857142857,High,Loyal: Promo Dependent,Neutral
88,52,Male,Shoes,Footwear,53,Ohio,M,Fall,3.7,Yes,2-Day Shipping,Yes,44,Debit Card,Fortnightly,88.0,0,26,0.5601347335050524,1,0.5390968644739449,High,0.4398652664949476,0.6142857142857141,Mid,Loyal: Promo Dependent,Neutral
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Fall,3.5,Yes,Free Shipping,Yes,35,Credit Card,Monthly,140.0,0,12,0.4003368337626312,1,0.3993046611848622,Mid,0.5996631662373688,0.4857142857142856,Mid,Loyal: Promo Dependent,Neutral
90,47,Male,Jacket,Outerwear,83,California,XL,Fall,3.6,Yes,Next Day Air,Yes,15,Cash,Quarterly,195.0,0,4,0.15742024965325932,0,0.32135488904299586,Mid,0.8425797503467407,0.19999999999999993,Low,Casual: Bargain Hunter,Neutral
91,25,Male,Hat,Accessories,48,South Carolina,L,Summer,2.9,Yes,Express,Yes,29,Credit Card,Monthly,116.0,0,12,0.33911234396671286,0,0.3534500693481276,Mid,0.6608876560332871,0.39999999999999997,Mid,Casual: Bargain Hunter,Dissatisfied
92,44,Male,Scarf,Accessories,99,South Carolina,S,Winter,4.6,Yes,Standard,Yes,18,Credit Card,Quarterly,234.0,0,4,0.1880324945512185,0,0.39584468496136316,Mid,0.8119675054487815,0.2428571428571428,Low,Casual: Bargain Hunter,Highly Satisfied
93,61,Male,Jacket,Outerwear,87,Texas,M,Winter,4.4,Yes,2-Day Shipping,Yes,13,Venmo,Quarterly,169.0,0,4,0.13701208638795323,0,0.317528358430751,Low,0.8629879136120467,0.1714285714285714,Low,Casual: Bargain Hunter,Highly Satisfied
94,37,Male,Sweater,Clothing,62,Florida,M,Fall,4.5,Yes,Standard,Yes,46,Credit Card,Weekly,46.0,0,52,0.7067564890033683,1,0.6718979096492965,High,0.2932435109966317,0.6428571428571428,High,Loyal: Promo Dependent,Highly Satisfied
95,58,Male,Skirt,Clothing,76,Nevada,S,Spring,4.6,Yes,Free Shipping,Yes,28,Credit Card,Weekly,28.0,0,52,0.5230830196156132,1,0.5687091341390925,High,0.4769169803843868,0.3857142857142857,Low,Loyal: Promo Dependent,Highly Satisfied
96,37,Male,Sneakers,Footwear,100,Missouri,L,Fall,3.8,Yes,Free Shipping,Yes,48,PayPal,Monthly,192.0,0,12,0.532989894987121,1,0.6710521101644541,High,0.467010105012879,0.6714285714285714,High,Loyal: Promo Dependent,Neutral
97,32,Male,Gloves,Accessories,73,Delaware,S,Spring,3.7,Yes,Express,Yes,43,Venmo,Quarterly,559.0,1,4,0.44313453536754505,1,0.5186763176144245,High,0.5568654646324549,0.6,Mid,Loyal: Promo Dependent,Neutral
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Summer,3.7,Yes,Express,Yes,33,Debit Card,Quarterly,429.0,0,4,0.34109371904101443,0,0.3339186645531999,Mid,0.6589062809589856,0.4571428571428571,Mid,Casual: Bargain Hunter,Neutral
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Fall,2.7,Yes,Express,Yes,31,Cash,Fortnightly,62.0,0,26,0.42748167228056266,1,0.5735994154943531,High,0.5725183277194373,0.4285714285714285,Mid,Loyal: Promo Dependent,Dissatisfied
102,27,Male,Coat,Outerwear,85,North Dakota,XL,Spring,4.6,Yes,Express,Yes,50,Credit Card,Bi-Weekly,25.0,0,104,1.0,1,0.953125,High,0.0,0.7,High,Loyal: Promo Dependent,Highly Satisfied
103,51,Male,Socks,Clothing,67,Oklahoma,L,Winter,4.8,Yes,Next Day Air,Yes,35,Credit Card,Quarterly,455.0,0,4,0.3615018823063205,1,0.4346201951654448,Mid,0.6384981176936795,0.4857142857142856,Mid,Loyal: Promo Dependent,Highly Satisfied
104,54,Male,Boots,Footwear,89,West Virginia,L,Winter,4.0,Yes,Next Day Air,Yes,22,Venmo,Bi-Weekly,11.0,0,104,0.7142857142857142,1,0.7370535714285713,High,0.2857142857142858,0.29999999999999993,Low,Loyal: Promo Dependent,Neutral
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Spring,4.4,Yes,2-Day Shipping,Yes,1,PayPal,Monthly,4.0,0,12,0.05339805825242718,0,0.04987864077669903,Low,0.9466019417475728,0.0,Low,Casual: Bargain Hunter,Highly Satisfied
